COMPRESION (CUBO)
ID	Fecha	Hora	Gradiente [kN/s]	Carga inicio [kN]	Carga rotura [%]	Longitud [mm]	Ancho [mm]	Temperatura [C]	Peso [Kg]	Densidad [Kg/m3]	Dias	Carga maxima [kN]	Resistencia maxima [Mpa]
0126	27/09/2025	10:03:31	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1050.299	   46.680
0127	27/09/2025	10:06:33	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1034.725	   45.988
0128	27/09/2025	10:08:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  723.749	   32.167
0129	27/09/2025	10:09:49	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  714.589	   31.759
0130	27/09/2025	10:11:13	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  429.265	   19.078
0131	27/09/2025	10:13:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  418.053	   18.580
0132	27/09/2025	10:16:24	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1075.496	   47.800
0133	27/09/2025	10:18:39	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1086.087	   48.271
0134	27/09/2025	10:20:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1087.824	   48.348
0135	27/09/2025	10:23:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1038.512	   46.156
0136	27/09/2025	10:24:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  948.401	   42.151
0137	27/09/2025	10:25:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  935.503	   41.578
0138	27/09/2025	10:33:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  809.160	   35.963
0139	27/09/2025	10:38:03	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  799.406	   35.529
0140	27/09/2025	10:39:35	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1031.736	   45.855
0141	27/09/2025	10:41:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1104.052	   49.069
0142	27/09/2025	10:42:35	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1005.713	   44.698
0143	27/09/2025	10:44:09	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1068.236	   47.477
0144	27/09/2025	10:45:34	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1037.259	   46.100
0145	27/09/2025	10:47:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  145.907	    6.485
0146	27/09/2025	10:51:11	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1053.545	   46.824
0147	27/09/2025	10:53:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1262.172	   56.097
0148	27/09/2025	10:56:06	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1381.510	   61.400
0149	27/09/2025	10:57:42	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1146.303	   50.947
0150	27/09/2025	11:02:14	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1151.998	   51.200
0151	27/09/2025	11:05:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  822.703	   36.565
0152	27/09/2025	11:07:05	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  796.862	   35.416
0153	30/09/2025	06:30:04	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1135.513	   50.467
0154	30/09/2025	07:25:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  970.124	   43.117
0155	30/09/2025	07:25:47	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	   99.078	    4.403
0156	30/09/2025	09:00:20	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1219.234	   54.188
0157	30/09/2025	09:03:22	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1216.491	   54.066
0158	30/09/2025	09:10:18	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1153.848	   51.282
0159	30/09/2025	09:13:24	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1213.351	   53.927
0160	30/09/2025	09:16:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1097.134	   48.762
0161	30/09/2025	09:19:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1137.933	   50.575
0162	30/09/2025	09:23:06	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1051.210	   46.720
0163	30/09/2025	09:27:08	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1052.292	   46.769
0164	30/09/2025	09:30:25	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1261.267	   56.056
0165	30/09/2025	09:34:39	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1239.685	   55.097
0166	30/09/2025	09:49:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1392.740	   61.900
0167	30/09/2025	09:52:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1429.144	   63.518
0168	30/09/2025	09:55:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  527.675	   23.452
0169	30/09/2025	09:59:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  519.160	   23.074
0170	30/09/2025	10:01:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  607.831	   27.015
0171	30/09/2025	10:04:25	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  599.234	   26.633
0172	30/09/2025	10:07:01	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  543.798	   24.169
0173	30/09/2025	10:09:39	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  498.978	   22.177
0174	30/09/2025	10:12:31	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  581.777	   25.857
0175	30/09/2025	10:15:01	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  573.716	   25.498
0176	30/09/2025	10:17:42	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  543.628	   24.161
0177	30/09/2025	10:20:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  532.614	   23.672
0178	30/09/2025	13:08:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  394.976	   17.554
0179	30/09/2025	13:10:13	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  374.993	   16.666
0180	30/09/2025	13:30:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1238.893	   55.062
0181	30/09/2025	13:36:33	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1172.440	   52.108
0182	30/09/2025	13:39:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1355.685	   60.253
0183	30/09/2025	13:42:11	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1265.171	   56.230
0184	30/09/2025	13:45:01	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1345.248	   59.789
0185	30/09/2025	13:47:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1305.761	   58.034
0186	30/09/2025	13:50:34	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1323.977	   58.843
0187	30/09/2025	13:53:46	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1246.021	   55.379
0188	30/09/2025	13:57:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1196.640	   53.184
0189	30/09/2025	14:00:08	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1296.002	   57.600
0190	30/09/2025	14:03:37	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1196.498	   53.178
0191	30/09/2025	14:06:39	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1307.062	   58.092
0192	30/09/2025	14:09:43	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1362.729	   60.566
0193	30/09/2025	14:13:20	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1154.788	   51.324
0194	30/09/2025	14:18:34	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1156.382	   51.395
0195	30/09/2025	14:22:52	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  949.938	   42.219
0196	30/09/2025	14:25:41	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  952.330	   42.326
0197	30/09/2025	14:28:24	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  926.051	   41.158
0198	30/09/2025	14:31:16	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  898.134	   39.917
